,Price
2023-03-26,39.607438275396134
2023-03-27,41.47720181795848
2023-03-28,41.534709495148014
2023-03-29,41.40113499570077
2023-03-30,41.95266552020636
2023-03-31,42.93719444785653
2023-04-01,42.93719444785653
2023-04-02,42.93719444785653
2023-04-03,45.333339884535064
2023-04-04,45.25813045080457
2023-04-05,45.40080088441223
2023-04-06,45.35462719567621
2023-04-07,45.45373049993858
2023-04-08,45.45373049993858
2023-04-09,45.45373049993858
2023-04-10,45.10272816607296
2023-04-11,45.85501658272939
2023-04-12,46.42364144453998
2023-04-13,45.62032674118659
2023-04-14,46.0093256356713
2023-04-15,46.0093256356713
2023-04-16,46.0093256356713
2023-04-17,45.42902161896573
2023-04-18,45.27458543176514
2023-04-19,44.418589853826305
2023-04-20,43.313324530155995
2023-04-21,43.42252671661958
2023-04-22,43.42252671661958
2023-04-23,43.42252671661958
2023-04-24,43.707431519469345
2023-04-25,43.02397187077755
2023-04-26,41.25970089669573
2023-04-27,41.522398968185726
2023-04-28,42.68083220734553
2023-04-29,42.68083220734553
2023-04-30,42.68083220734553
2023-05-01,42.23959464439258
2023-05-02,39.93651885517749
2023-05-03,38.055733325144324
2023-05-04,38.20183576956148
2023-05-05,39.71895221717234
2023-05-06,39.71895221717234
2023-05-07,39.71895221717234
2023-05-08,40.766974573148254
2023-05-09,41.2411263972485
2023-05-10,40.54920034393809
2023-05-11,39.86727920402898
2023-05-12,39.62868812185235
2023-05-13,39.62868812185235
2023-05-14,39.62868812185235
2023-05-15,40.14694447856529
2023-05-16,40.04491831470335
2023-05-17,41.288814027760715
2023-05-18,41.01136715391229
2023-05-19,40.74556319862424
2023-05-20,40.74556319862424
2023-05-21,40.74556319862424
2023-05-22,40.91477091266429
2023-05-23,41.53908610735781
2023-05-24,42.437740449576225
2023-05-25,41.20004790566269
2023-05-26,41.66204888834295
2023-05-27,41.66204888834295
2023-05-28,41.925442820292346
2023-05-29,41.7921668099742
2023-05-30,39.81417516275641
2023-05-31,39.199651148507556
2023-06-01,40.05392457929002
2023-06-02,41.197032305613554
2023-06-03,41.197032305613554
2023-06-04,41.197032305613554
2023-06-05,41.41569340375875
2023-06-06,41.264546738729884
2023-06-07,41.691487532244196
2023-06-08,40.682451787249725
2023-06-09,40.17561294681243
2023-06-10,40.17561294681243
2023-06-11,40.17561294681243
2023-06-12,38.41423350939689
2023-06-13,39.58906276870163
2023-06-14,38.80465176268271
2023-06-15,39.727880481513324
2023-06-16,40.37834418376121
2023-06-17,40.37834418376121
2023-06-18,40.120120378331904
2023-06-19,40.091618965729026
2023-06-20,40.041642304385206
2023-06-21,40.53583834909716
2023-06-22,39.02307763174056
2023-06-23,39.083503255128356
2023-06-24,39.083503255128356
2023-06-25,39.083503255128356
2023-06-26,39.15629038201695
2023-06-27,38.04101461736887
2023-06-28,39.237578921508415
2023-06-29,39.56848175899766
2023-06-30,39.832768701633704
2023-07-01,39.832768701633704
